ICAO,IATA,Airport Name,Mean TXI (mins),Standard Deviation,10th Pctl,Median,90th Pctl
BIKF,KEF,KEFLAVIK,7.2,3.1,5.0,7.0,10.0
BKPR,PRN,PRISTINA,4.9,1.9,4.0,5.0,7.0
CYUL,YUL,MONTREAL/DORVAL,8.9,5.9,4.0,8.0,14.0
CYVR,YVR,VANCOUVER INTL,7.6,3.5,5.0,7.0,10.0
CYYC,YYC,CALGARY INTL,5.7,2.0,4.0,5.0,8.0
CYYZ,YYZ,TORONTO INTL/L.B. PE,12.1,7.0,7.0,10.0,19.0
DAAE,BJA,BEJAIA,5.5,1.6,4.0,5.0,8.0
DAAG,ALG,ALGER,8.1,3.2,5.0,7.0,11.0
DAAS,QSF,UNKNOWN,5.3,1.8,3.0,5.0,7.0
DABB,AAE,"ANNABA, ALGERIA",6.1,2.0,4.0,5.0,9.0
DABC,CZL,CONSTANTINE/MOHAMMED,5.1,1.4,4.0,5.0,7.0
DAON,TLM,"TLEMCEN, ZENATA",5.6,1.1,4.0,6.0,7.0
DAOO,ORN,ORAN ES SENIA,6.6,2.2,5.0,6.0,9.0
DBBB,COO,COTONOU/CADJEHOUN,5.6,1.5,4.0,6.0,7.0
DFFD,OUA,OUAGADOUGOU,7.4,2.2,5.0,7.0,10.0
DGAA,ACC,ACCRA,4.4,1.7,3.0,4.0,7.0
DIAP,ABJ,ABIDJAN,5.3,2.5,3.0,5.0,8.0
DNAA,ABV,ABUJA,7.7,2.2,6.0,7.0,10.0
DNMM,LOS,LAGOS,11.0,4.2,7.0,11.0,15.0
DRRN,NIM,NIAMEY,5.8,2.1,4.0,5.0,9.0
DTMB,MIR,MONASTIR/HABIB BOURG,3.7,1.1,3.0,4.0,5.0
DTTA,TUN,TUNIS/CARTHAGE,5.0,1.6,4.0,5.0,7.0
DTTJ,DJE,DJERBA/ZARZIS,4.5,1.5,3.0,4.0,6.0
EBAW,ANR,ANTWERP ,4.0,1.5,2.0,4.0,6.0
EBBR,BRU,BRUSSELS,5.5,2.5,3.0,5.0,8.0
EBCI,CRL,CHARLEROI,5.7,3.3,4.0,5.0,8.0
EBLG,LGG,LIEGE/LIEGE,5.6,5.4,3.0,5.0,9.0
EBOS,OST,OOSTENDE,4.9,3.3,3.0,4.0,7.0
EDDB,BER,BERLIN BRANDENBURG,5.8,2.7,4.0,5.0,8.0
EDDC,DRS,DRESDEN,4.2,2.0,3.0,4.0,6.0
EDDF,FRA,FRANKFURT,8.9,3.9,5.0,8.0,14.0
EDDG,FMO,MUENSTER-OSNABRUECK,5.0,2.6,3.0,5.0,7.0
EDDH,HAM,HAMBURG,5.6,2.1,3.0,5.0,8.0
EDDK,CGN,COLOGNE/BONN,6.6,3.0,4.0,6.0,10.0
EDDL,DUS,DUSSELDORF,5.1,2.2,3.0,5.0,8.0
EDDM,MUC,MUNICH,5.8,2.2,4.0,5.0,8.0
EDDN,NUE,NURENBERG,4.3,2.6,3.0,4.0,6.0
EDDP,LEJ,LEIPZIG/HALLE,6.0,1.9,4.0,6.0,8.0
EDDR,SCN,SAARBRUCKEN/ENSHEIM,5.6,1.2,4.0,6.0,7.0
EDDS,STR,STUTTGART,6.3,2.6,4.0,6.0,9.0
EDDV,HAJ,HANOVER,5.4,2.5,3.0,5.0,9.0
EDDW,BRE,BREMEN,4.0,1.7,3.0,4.0,6.0
EDFH,HHN,HAHN,6.1,5.3,3.0,5.0,8.0
EDHI,XFW,HAMBURG-FINKENWERDER,4.7,1.2,3.0,5.0,6.0
