ICAO,IATA,Airport Name,Mean TXO (mins),Standard Deviation,10th Pctl,Median,90th Pctl
BIKF,KEF,KEFLAVIK,13.2,4.2,9.0,13.0,17.0
BKPR,PRN,PRISTINA,10.3,2.6,8.0,10.0,13.0
CYUL,YUL,MONTREAL/DORVAL,21.7,7.3,15.0,20.0,29.0
CYVR,YVR,VANCOUVER INTL,18.9,4.6,14.0,18.0,24.0
CYYC,YYC,CALGARY INTL,16.7,5.6,12.0,15.0,21.0
CYYZ,YYZ,TORONTO INTL/L.B. PE,21.9,7.5,15.0,21.0,29.0
DAAE,BJA,BEJAIA,7.3,2.8,5.0,7.0,10.0
DAAG,ALG,ALGER,13.4,4.7,9.0,12.0,19.0
DAAS,QSF,UNKNOWN,7.7,4.6,5.0,6.0,13.0
DABB,AAE,"ANNABA, ALGERIA",6.6,2.3,4.0,7.0,10.0
DABC,CZL,CONSTANTINE/MOHAMMED,8.4,2.6,6.0,8.0,11.0
DAON,TLM,"TLEMCEN, ZENATA",7.9,6.3,5.0,6.0,12.0
DAOO,ORN,ORAN ES SENIA,11.9,3.3,9.0,11.0,15.0
DBBB,COO,COTONOU/CADJEHOUN,14.4,3.3,12.0,14.0,18.0
DFFD,OUA,OUAGADOUGOU,8.8,3.6,6.0,8.0,13.0
DGAA,ACC,ACCRA,13.5,3.2,10.0,13.0,17.0
DIAP,ABJ,ABIDJAN,15.8,4.1,12.0,15.0,21.0
DNAA,ABV,ABUJA,15.5,5.5,12.0,15.0,20.0
DNMM,LOS,LAGOS,19.1,6.7,14.0,18.0,25.0
DRRN,NIM,NIAMEY,16.3,3.8,13.0,16.0,19.0
DTMB,MIR,MONASTIR/HABIB BOURG,10.3,3.5,8.0,10.0,13.0
DTTA,TUN,TUNIS/CARTHAGE,11.0,3.9,7.0,10.0,15.0
DTTJ,DJE,DJERBA/ZARZIS,10.1,2.6,7.0,10.0,13.0
EBAW,ANR,ANTWERP ,7.3,3.0,4.0,7.0,11.0
EBBR,BRU,BRUSSELS,12.2,4.0,9.0,11.0,16.0
EBCI,CRL,CHARLEROI,11.3,3.3,8.0,11.0,15.0
EBLG,LGG,LIEGE/LIEGE,10.5,2.8,7.0,10.0,14.0
EBOS,OST,OOSTENDE,11.7,2.2,10.0,12.0,14.0
EDDB,BER,BERLIN BRANDENBURG,11.5,5.2,8.0,11.0,15.0
EDDC,DRS,DRESDEN,9.1,2.4,7.0,9.0,11.0
EDDF,FRA,FRANKFURT,13.2,5.3,7.0,13.0,19.0
EDDG,FMO,MUENSTER-OSNABRUECK,6.3,2.9,4.0,5.0,10.0
EDDH,HAM,HAMBURG,10.1,4.0,7.0,9.0,14.0
EDDK,CGN,COLOGNE/BONN,11.7,4.0,7.0,11.0,17.0
EDDL,DUS,DUSSELDORF,11.7,3.8,8.0,11.0,16.0
EDDM,MUC,MUNICH,12.7,4.2,9.0,12.0,17.0
EDDN,NUE,NURENBERG,10.3,4.2,6.0,10.0,14.0
EDDP,LEJ,LEIPZIG/HALLE,11.9,3.3,8.0,11.0,16.0
EDDR,SCN,SAARBRUCKEN/ENSHEIM,5.6,2.0,4.0,5.0,8.0
EDDS,STR,STUTTGART,9.9,4.3,5.0,9.0,15.0
EDDV,HAJ,HANOVER,10.5,3.5,7.0,10.0,14.0
EDDW,BRE,BREMEN,9.3,3.0,7.0,9.0,12.0
EDFH,HHN,HAHN,10.2,3.3,7.0,10.0,13.0
EDHI,XFW,HAMBURG-FINKENWERDER,11.5,5.1,9.0,10.0,15.0
EDJA,QOX,MEMMINGEN,10.7,4.2,7.0,10.0,15.0
EDLP,PAD,PADERBORN LIPPSTADT,8.9,3.0,6.0,8.0,12.0
EDLV,NRN,WEEZE,10.5,2.4,8.0,10.0,13.0
EDLW,DTM,DORTMUND-WICKEDE,9.4,3.6,5.0,9.0,14.0
EDNY,FDH,FRIEDRICHSHAFEN,5.9,4.2,3.0,5.0,10.0
