ICAO,IATA,Airport Name,Mean TXO (mins),Standard Deviation,10th Pctl,Median,90th Pctl
BIKF,KEF,KEFLAVIK,13.4,4.2,9.0,13.0,18.0
BKPR,PRN,PRISTINA,10.8,4.3,8.0,10.0,15.0
CYUL,YUL,MONTREAL/DORVAL,24.7,11.2,15.0,21.0,41.0
CYVR,YVR,VANCOUVER INTL,20.3,10.9,15.0,18.0,26.0
CYYC,YYC,CALGARY INTL,17.5,7.5,12.0,15.0,28.0
CYYZ,YYZ,TORONTO INTL/L.B. PE,23.8,11.0,15.0,21.0,36.0
DAAG,ALG,ALGER,12.0,4.2,8.0,12.0,16.0
DABC,CZL,CONSTANTINE/MOHAMMED,9.0,2.7,5.0,9.0,12.0
DAOO,ORN,ORAN ES SENIA,11.6,3.0,8.0,12.0,15.0
DBBB,COO,COTONOU/CADJEHOUN,14.1,3.2,11.0,14.0,19.0
DFFD,OUA,OUAGADOUGOU,8.2,3.3,6.0,7.0,13.0
DGAA,ACC,ACCRA,14.1,3.9,10.0,13.0,19.0
DIAP,ABJ,ABIDJAN,15.5,4.1,12.0,15.0,20.0
DNAA,ABV,ABUJA,15.7,4.1,12.0,15.0,20.0
DNMM,LOS,LAGOS,18.6,6.3,13.0,18.0,24.0
DTMB,MIR,MONASTIR/HABIB BOURG,9.8,2.1,8.0,10.0,12.0
DTTA,TUN,TUNIS/CARTHAGE,10.9,3.9,7.0,10.0,15.0
DTTJ,DJE,DJERBA/ZARZIS,10.8,3.1,8.0,10.0,14.0
EBAW,ANR,ANTWERP ,5.3,1.8,3.0,5.0,8.0
EBBR,BRU,BRUSSELS,11.8,4.1,8.0,11.0,16.0
EBCI,CRL,CHARLEROI,11.5,3.1,9.0,11.0,15.0
EDDB,BER,BERLIN BRANDENBURG,12.6,7.1,8.0,11.0,17.0
EDDC,DRS,DRESDEN,9.2,2.3,7.0,9.0,11.0
EDDF,FRA,FRANKFURT,13.9,6.5,7.0,13.0,20.0
EDDG,FMO,MUENSTER-OSNABRUECK,5.8,3.8,4.0,5.0,9.0
EDDH,HAM,HAMBURG,9.5,3.4,6.0,9.0,13.0
EDDK,CGN,COLOGNE/BONN,11.1,4.0,7.0,11.0,16.0
EDDL,DUS,DUSSELDORF,12.2,4.6,8.0,11.0,17.0
EDDM,MUC,MUNICH,13.2,6.4,8.0,12.0,19.0
EDDN,NUE,NURENBERG,10.6,3.7,7.0,10.0,15.0
EDDP,LEJ,LEIPZIG/HALLE,12.7,6.1,8.0,11.0,19.0
EDDS,STR,STUTTGART,11.5,5.2,6.0,11.0,16.0
EDDV,HAJ,HANOVER,11.2,6.1,7.0,9.0,16.0
EDDW,BRE,BREMEN,9.4,2.8,7.0,9.0,13.0
EDFH,HHN,HAHN,12.5,9.1,8.0,10.0,22.0
EDJA,QOX,MEMMINGEN,12.3,7.7,7.0,10.0,20.0
EDLP,PAD,PADERBORN LIPPSTADT,8.6,2.9,6.0,8.0,12.0
EDLV,NRN,WEEZE,11.2,2.4,9.0,11.0,14.0
EDLW,DTM,DORTMUND-WICKEDE,9.4,4.7,5.0,9.0,14.0
EDNY,FDH,FRIEDRICHSHAFEN,4.8,2.1,3.0,4.0,7.0
EDSB,FKB,KARLSRUHE/BADEN-BADE,8.0,4.3,5.0,7.0,11.0
EETN,TLL,TALLINN/ULEMISTE,10.0,4.3,5.0,10.0,14.0
EFHK,HEL,HELSINKI-VANTAA,13.4,7.4,6.0,11.0,23.0
EFIV,IVL,IVALO,4.9,1.6,4.0,5.0,6.0
EFJO,JOE,JOENSUU,3.6,1.0,3.0,3.0,4.0
EFJY,JYV,JYVASKYLA,3.6,1.5,2.0,3.0,5.0
EFKE,KEM,KEMI-TORNIO,3.7,1.6,2.0,3.0,5.0
EFKI,KAJ,KAJAANI,3.4,1.0,2.0,3.0,5.0
EFKK,KOK,KRUUNUPYY,3.6,1.1,2.0,3.0,5.0
EFKS,KAO,KUUSAMO,3.8,1.7,2.0,3.0,5.0
EFKT,KTT,KITTILA,7.9,4.2,4.0,6.0,13.0
EFKU,KUO,KUOPIO,3.7,1.5,2.0,3.0,5.0
EFOU,OUL,OULU,6.7,2.4,4.0,7.0,9.0
EFRO,RVN,ROVANIEMI,11.5,5.2,7.0,10.0,18.0
EFTP,TMP,TAMPERE-PIRKKALA,7.5,5.7,3.0,6.0,13.0
EFTU,TKU,TURKU,5.9,3.2,3.0,5.0,9.0
EFVA,VAA,VAASA,4.7,1.3,3.0,4.0,6.0
EGAA,BFS,BELFAST/ALDERGROVE,11.0,4.2,8.0,10.0,14.0
EGAC,BHD,BELFAST/CITY AIRPORT,9.1,2.4,7.0,9.0,12.0
EGBB,BHX,BIRMINGHAM,11.8,3.3,9.0,11.0,15.0
EGCC,MAN,MANCHESTER,14.4,5.0,10.0,13.0,20.0
EGFF,CWL,CARDIFF,9.1,2.5,7.0,9.0,12.0
EGGD,BRS,BRISTOL/LULSGATE,10.1,3.2,7.0,10.0,13.0
EGGP,LPL,LIVERPOOL,11.2,4.8,8.0,10.0,14.0
EGGW,LTN,LONDON/LUTON,15.0,7.6,10.0,13.0,21.0
EGHH,BOH,BOURNEMOUTH/HURN,10.7,3.5,8.0,10.0,14.0
EGHI,SOU,SOUTHAMPTON,9.6,2.3,7.0,9.0,12.0
EGHQ,NQY,NEWQUAY CORNWALL,10.9,4.5,8.0,11.0,13.0
EGJJ,JER,JERSEY,9.7,2.4,8.0,9.0,12.0
EGKK,LGW,LONDON/GATWICK,17.3,7.1,10.0,16.0,25.0
EGLC,LCY,LONDON/CITY,7.8,3.2,4.0,7.0,12.0
EGLL,LHR,LONDON/HEATHROW,19.0,6.8,12.0,18.0,27.0
EGMC,SEN,SOUTHEND,9.8,5.7,7.0,9.0,12.0
EGNJ,HUY,HUMBERSIDE,9.2,1.9,7.0,9.0,11.0
EGNM,LBA,LEEDS AND BRADFORD,11.3,3.2,8.0,11.0,15.0
EGNS,IOM,ISLE OF MAN/RONALDSW,9.6,2.0,8.0,9.0,12.0
EGNT,NCL,NEWCASTLE,10.7,4.2,8.0,10.0,14.0
EGNV,MME,TEESSIDE,9.6,2.2,8.0,9.0,12.0
EGNX,EMA,EAST MIDLANDS,12.0,4.2,9.0,11.0,15.0
EGPD,ABZ,ABERDEEN,9.7,2.6,7.0,9.0,13.0
EGPE,INV,INVERNESS,6.5,2.1,4.0,6.0,9.0
EGPF,GLA,GLASGOW,10.4,3.5,8.0,10.0,13.0
EGPH,EDI,EDINBURGH,11.7,5.0,8.0,11.0,16.0
EGPK,PIK,PRESTWICK,8.2,5.2,1.0,8.0,14.0
EGSH,NWI,NORWICH,9.3,2.0,7.0,9.0,12.0
EGSS,STN,LONDON/STANSTED,12.9,4.4,9.0,12.0,18.0
EHAM,AMS,AMSTERDAM,13.5,5.6,8.0,12.0,19.0
EHBK,MST,MAASTRICHT/MAASTRICHT AACHEN,9.6,4.3,4.0,10.0,14.0
EHEH,EIN,EINDHOVEN,10.7,3.0,8.0,10.0,14.0
EICK,ORK,CORK,10.0,4.6,7.0,9.0,13.0
EIDW,DUB,DUBLIN,15.1,5.5,10.0,14.0,21.0
EIKN,NOC,CONNAUGHT,6.4,2.6,4.0,6.0,10.0
EIKY,KIR,KERRY/FARRANFORE,6.4,3.9,4.0,6.0,9.0
EINN,SNN,SHANNON,11.2,3.9,8.0,11.0,14.0
EKAH,AAR,AARHUS/TIRSTRUP,9.0,3.4,5.0,9.0,13.0
EKBI,BLL,BILLUND,12.8,8.9,8.0,10.0,21.0
EKCH,CPH,COPENHAGEN/KASTRUP,13.5,6.2,9.0,12.0,20.0
EKYT,AAL,AALBORG,10.2,3.1,7.0,10.0,13.0
ELLX,LUX,LUXEMBOURG,10.8,3.4,7.0,10.0,15.0
ENAL,AES,ALESUND/VIGRA,8.3,6.1,4.0,7.0,14.0
ENAN,ANX,ANDOYA/ANDENES,4.0,3.6,2.0,3.0,5.0
ENAT,ALF,ALTA,7.8,9.9,2.0,3.0,21.0
ENBL,FDE,FORDE/BRINGELAND,3.0,2.8,2.0,2.0,3.0
ENBN,BNN,BRONNOYSUND/BRONNOY,4.0,3.1,2.0,3.0,5.0
ENBO,BOO,BODO,6.7,7.4,2.0,3.0,15.0
ENBR,BGO,BERGEN/FLESLAND,10.1,6.8,5.0,8.0,17.0
ENBS,BJF,BATSFJORD,2.4,0.9,2.0,2.0,3.0
ENBV,BVG,BERLEVAG,3.4,1.3,2.0,3.0,4.0
ENCN,KRS,KRISTIANSAND/KJEVIK,10.4,8.5,4.0,7.0,21.0
ENDU,BDU,BARDUFOSS,11.9,7.8,5.0,11.0,20.0
ENEV,EVE,EVENES,9.3,8.8,2.0,7.0,21.0
ENFL,FRO,FLORO,3.2,1.2,2.0,3.0,4.0
ENGM,OSL,OSLO/GARDERMOEN,15.6,9.7,8.0,12.0,27.0
ENHD,HAU,HAUGESUND/KARMOY,8.0,7.6,2.0,7.0,16.0
ENHF,HFT,HAMMERFEST,3.7,2.7,2.0,3.0,5.0
ENHK,HAA,HASVIK,3.3,1.4,2.0,3.0,5.0
ENHV,HVG,HONNINGSVAG/VALAN,3.2,3.1,2.0,3.0,4.0
ENKB,KSU,KRISTIANSUND/KV,5.5,3.1,3.0,4.0,9.0
ENKR,KKN,KIRKENES/HOYBUKTMOEN,5.2,4.8,2.0,3.0,13.0
ENLK,LKN,LEKNES,2.8,2.2,2.0,2.0,4.0
ENMH,MEH,MEHAMN,3.4,1.4,2.0,3.0,4.0
ENML,MOL,MOLDE,9.4,7.4,4.0,7.0,18.0
ENMS,MJF,MOSJOEN/KJAERSTAD,2.9,4.0,2.0,2.0,3.0
ENNM,OSY,NAMSOS,2.0,0.8,1.0,2.0,3.0
ENOV,HOV,ORSTA-VOLDA/HOVDEN,3.1,3.6,1.0,2.0,5.0
ENRA,MQN,MO I RANA/ROSSVOLL,3.2,2.3,2.0,3.0,4.0
ENRM,RVK,RORVIK/RYUM,3.0,1.1,2.0,3.0,4.0
ENRO,RRS,ROROS,4.5,1.3,3.0,4.0,5.0
ENRS,RET,ROST,3.0,1.6,2.0,3.0,4.0
ENSB,LYR,SVALBARD/LONGYEAR,7.9,5.3,3.0,6.0,17.0
ENSD,SDN,SANDANE/ANDA,3.6,4.5,2.0,2.0,10.0
ENSG,SOG,SOGNDAL/HAUKASEN,3.7,4.5,2.0,3.0,4.0
ENSH,SVJ,SVOLVAER/HELLE,2.6,1.0,1.0,2.0,4.0
ENSK,SKN,STOKMARKNES/SKAGEN,2.6,1.6,1.0,2.0,3.0
ENSR,SOJ,SORKJOSEN,2.6,0.8,2.0,3.0,4.0
ENSS,VAW,VARDO/SVARTNES,3.0,0.9,2.0,3.0,4.0
ENST,SSJ,SANDNESSJOEN/STOKKA,3.1,2.9,2.0,3.0,4.0
ENTC,TOS,TROMSO/LANGNES,11.3,9.4,2.0,9.0,23.0
ENTO,TRF,SANDEFJORD/TORP,13.5,10.3,5.0,10.0,28.0
ENVA,TRD,TRONDHEIM/VAERNES,8.3,5.9,3.0,7.0,17.0
ENVD,VDS,VADSO,3.6,1.9,2.0,3.0,5.0
ENZV,SVG,STAVANGER/SOLA,10.8,7.2,6.0,9.0,19.0
EPBY,BZG,BYDGOSZCZ,9.8,2.5,7.0,9.0,13.0
EPGD,GDN,GDANSK/REBIECHOWO,14.4,9.1,8.0,11.0,26.0
EPKK,KRK,KRAKOW/BALICE,11.1,3.9,7.0,11.0,15.0
EPKT,KTW,KATOWICE/PYRZOWICE,14.3,8.8,8.0,11.0,26.0
EPLL,LCJ,LODZ/LUBLINEK,9.8,7.1,4.0,7.0,20.0
EPMO,WMI,MODLIN WARSAW,13.7,7.7,8.0,11.0,23.0
EPPO,POZ,POZNAN/LAWICA,11.7,6.5,7.0,10.0,20.0
EPRZ,RZE,RZESZOW/JASIONKA,12.1,5.9,8.0,10.0,20.0
EPSC,SZZ,SZCZECIN/GOLENIOW,8.1,3.4,5.0,8.0,11.0
EPSY,SZY,MAZURY,9.8,2.9,8.0,10.0,12.0
EPWA,WAW,WARSAW/OKECIE,14.9,6.4,9.0,13.0,24.0
EPWR,WRO,WROCLAW/STRACHOWICE,12.6,8.6,7.0,10.0,21.0
EPZG,IEG,ZIELONA GORA/BABIMOS,9.8,3.7,5.0,9.0,14.5
ESDF,RNB,RONNEBY/KALLINGE,3.8,1.7,2.0,3.0,6.0
ESGG,GOT,GOTENBORG/LANDVETTER,10.5,3.7,7.0,10.0,14.0
ESMS,MMX,MALMOE/STURUP,8.9,4.8,6.0,9.0,11.0
ESNN,SDL,SUNDSVALL-HÄRNÖSAND,7.7,2.1,6.0,8.0,9.0
ESNQ,KRN,KIRUNA,14.5,10.9,4.0,10.0,29.0
ESNS,SFT,SKELLEFTEA,5.6,3.9,4.0,5.0,7.0
ESNU,UME,UMEA,9.8,3.1,7.0,9.0,13.0
ESNZ,OSD,OSTERSUND,5.7,2.3,4.0,5.0,7.0
ESOE,ORB,OREBRO,11.6,9.6,4.0,7.0,26.0
ESPA,LLA,LULEA/KALLAX,14.9,6.7,7.0,15.0,23.0
ESSA,ARN,STOCKHOLM/ARLANDA,11.6,4.4,8.0,11.0,16.0
ESSB,BMA,STOCKHOLM-BROMMA,4.6,1.3,3.0,4.0,7.0
ESSL,LPI,LINKOPING/MALMEN,7.7,2.6,6.0,7.0,10.0
ESSV,VBY,VISBY,4.2,1.2,3.0,4.0,5.0
